x_1;x_2
-1,2415833;-1,2969198
-1,5085411;-1,5122569
-0,86789834;-0,8291149
-0,58749056;-0,5227915
-0,60301983;-0,5123227
-0,50675917;-0,42664692
-0,3115626;-0,15933391
-0,3090119;-0,1467928
-0,29920822;-0,28419086
0,16022335;0,121562615
0,47391656;0,4164531
0,20297402;0,16814019
-0,085556746;-0,103659645
0,35882962;0,34270817
0,16953143;0,25077572
0,34381354;0,4159357
0,53351706;0,59987867
0,8708664;0,7748859
0,40837345;0,36737424
0,43395823;0,5157597
0,4950732;0,5195771
0,3072841;0,2622102
0,24350476;0,22803824
0,19354726;0,2100745
-0,08835262;-0,08853991
0,03689736;0,016881421
-0,07732574;-0,015717983
-0,17482409;-0,111278094
-0,16432865;-0,10124767
-0,118036225;-0,101397336
-0,033125516;-0,06727485
-0,015846778;-0,085794985
-0,2841102;-0,36070302
-0,33821732;-0,45215747
-0,39582607;-0,43366426
-0,12869787;-0,17117627
-0,25153658;-0,26278785
-0,12935525;-0,16846289
-0,025885925;-0,058877915
0,1439987;0,2050589
0,12198738;0,18880208
0,0037543178;0,046734102
0,06981444;0,15435869
-0,10099197;0,006699048
0,065668054;0,16674094
-0,09613398;0,008007884
0,08573864;0,12755924
0,22883424;0,3280214
0,41512215;0,5187787
0,15442304;0,18629529
-0,10658316;-0,065575406
-0,26518685;-0,22473429
-0,31576154;-0,3092223
-0,36685452;-0,32947287
-0,16962028;-0,10199611
-0,37066448;-0,3547362
0,13740721;0,07132217
0,3085254;0,19818173
0,21355265;0,09590762
0,1969457;0,11986373
0,20904104;0,15227163
0,17004645;0,10291753
-0,22366627;-0,24967842
-0,04246141;-0,07575973
-0,408034;-0,37206277
-0,28785124;-0,24745701
-0,19567996;-0,18132761
0,13071755;0,21529537
0,30046147;0,41244662
0,5652046;0,620875
0,14731103;0,14592299
0,17861547;0,21175152
-0,1391219;-0,092850044
-0,024470322;0,007798247
-0,22638318;-0,20085011
-0,33051944;-0,32349065
-0,25974685;-0,21187098
-0,45754826;-0,42295617
-0,36054528;-0,2688859
-0,56553054;-0,47973353
-0,49613518;-0,3678258
-0,5639975;-0,4303254
-0,36861578;-0,2567191
-0,38079423;-0,21792445
-0,41450033;-0,31962436
0,14812481;0,21667486
-0,3440715;-0,31142867
-0,42847365;-0,4142394
-0,72899866;-0,72409105
-0,59617084;-0,54231066
-0,14113909;-0,059731543
-0,31443176;-0,2661915
-0,2811833;-0,24096513
-0,80448806;-0,77646244
-0,72341514;-0,64860696
-1,1905872;-1,1249374
-1,1035475;-1,0459858
-0,68166983;-0,62091315
-0,18500912;-0,17194045
-0,012011513;0,008857146
-0,16700803;-0,15757753
-0,121405765;-0,20304035
-0,15794143;-0,19248316
-0,04399328;-0,11208594
0,24900745;0,12260032
-0,23352826;-0,3064171
-0,14414275;-0,28001297
0,22518463;0,07248986
0,008028835;-0,06910151
-0,21950296;-0,27332193
-0,36740187;-0,4390318
-0,7395315;-0,85588455
-0,38345766;-0,4998951
-0,48078358;-0,54372877
-0,34978557;-0,35926068
0,0429883;-0,007944286
-0,25142732;-0,31615025
-0,46194923;-0,46366903
-0,20241337;-0,14452933
-0,43039203;-0,4049252
-0,033691555;-0,051596075
-0,20701541;-0,26695997
-0,032888293;-0,032880932
0,31573358;0,26451918
0,6594063;0,5669936
0,22425893;0,14245263
0,33478427;0,25971892
-0,14102381;-0,19791552
-0,13159001;-0,14716716
-0,21435797;-0,23010911
-0,16718903;-0,15161449
0,010642201;0,030498415
-0,014848632;-0,018588506
0,19301538;0,26777974
0,26972282;0,32472408
0,42466584;0,45801395
0,5648174;0,56683576
0,5576938;0,48679557
0,3788295;0,39160332
0,24817573;0,31894234
0,09256905;0,10580897
-0,098688535;-0,11325018
0,45609713;0,4092939
0,2683891;0,31148764
0,25719935;0,25925282
0,39956993;0,4170505
0,6944938;0,6824523
0,6987901;0,7009922
0,68291855;0,6219637
0,5709742;0,46373042
0,596054;0,4964813
0,19460237;0,2216936
0,32706314;0,3477045
0,2857652;0,28889778
0,517685;0,46422362
0,2956671;0,20196672
0,29778448;0,2543841
0,017629802;-0,05656804
0,020918317;-0,041556977
0,17737557;0,12277992
0,31818908;0,23432297
0,12719482;0,10733174
-0,4403509;-0,4227882
-0,4580307;-0,5589388
-0,35928607;-0,47901762
-0,31783032;-0,4156415
-0,57073367;-0,5946103
-0,76287717;-0,801864
-0,73806006;-0,8129966
-0,82098573;-0,875224
-0,7000225;-0,7405879
-0,7324191;-0,8266671
-0,7220763;-0,73318154
-0,6137797;-0,5277426
-0,3949315;-0,33242846
-0,13792811;-0,09281771
0,18347523;0,20014186
0,33964044;0,3165757
0,11612649;0,100208804
-0,005994551;-0,10619616
0,23572166;0,16266309
0,2989316;0,21452492
0,099860415;0,060042165
0,0116876885;0,017703244
0,14023915;0,17283697
0,43256634;0,5530482
0,42243046;0,5155314
0,5010467;0,5116965
0,526434;0,5545766
0,764046;0,7318247
0,91864336;0,90797114
0,61580026;0,63854843
0,20437276;0,31202143
0,32950634;0,49867532
0,32722485;0,52731764
0,07174876;0,2409979
-0,11497306;0,10950665
0,24672836;0,3638268
0,08436678;0,25917453
-0,07994526;0,007520452
0,18094912;0,17619605
-0,032401904;-0,048971534
-0,10210019;-0,05231402
0,17088544;0,20143904
-0,1336229;-0,10525215
0,045428336;0,0034825802
0,10183349;0,02674826
-0,023082651;-0,042822585
0,1023884;0,055578247
-0,035209745;-0,16746041
0,5409807;0,3831253
0,41207582;0,32465214
0,35778046;0,29431665
0,32656813;0,31054544
0,03738205;0,06909101
0,32151866;0,3820593
-0,0063835382;0,08608781
-0,11377396;-0,008886136
0,06520316;0,11981398
0,14612558;0,17221257
0,36029166;0,413212
0,40046352;0,40646043
-0,027408719;-0,01573354
0,10674027;0,107242286
0,0724336;0,047486074
0,2551766;0,28856045
0,07537;0,010550752
-0,16447267;-0,25056496
0,22366183;0,13115022
-0,1363829;-0,24348676
-0,16132292;-0,25492823
0,023151562;-0,10534249
-0,24465874;-0,43534714
-0,40402752;-0,52178776
-0,43766123;-0,5570282
-0,30609363;-0,4090669
-0,28933963;-0,34235936
-0,12489142;-0,2040786
-0,16925153;-0,2679518
0,16472043;0,10574469
0,0031893551;-0,020239271
0,4560481;0,4406742
0,6126039;0,57771486
0,23245859;0,19109598
0,45857906;0,47341192
0,29313117;0,28271723
0,12526572;0,12502259
0,5197035;0,4821807
0,87610495;0,8365511
0,5928834;0,52555263
0,52189475;0,475
0,49246132;0,5062255
0,3414058;0,38619697
0,24518047;0,22967798
0,10953015;0,014893532
-0,27471104;-0,41289565
-0,18315151;-0,309491
-0,26585326;-0,39256382
-0,47260973;-0,60683805
-0,36779636;-0,43472007
-0,40787703;-0,48580873
-0,3846304;-0,40370277
0,10869682;0,07751605
0,2384764;0,21691129
0,04554522;0,10400478
-0,010425679;-0,039268844
-0,018490912;0,0486975
-0,25749105;-0,28493905
-0,22321363;-0,20616215
0,16685407;0,28391695
0,36672807;0,46963802
0,4737394;0,5554471
0,41278243;0,3932462
0,58258504;0,6076963
0,14086857;0,1765418
-0,21310523;-0,17471036
-0,08205993;-0,031379826
-0,18999153;-0,008497799
-0,032638445;0,15262356
-0,19640616;-0,04269544
-0,34664583;-0,28313613
-0,19851184;-0,18627007
-0,06877307;-0,10433197
-0,0008271225;-0,11339376
-0,027415216;-0,1432929
0,12154521;0,027653135
0,35560668;0,3507503
0,4231727;0,44863743
0,52682686;0,52843344
0,35702336;0,37526512
0,13732892;0,159604
-0,32228652;-0,37675518
-0,029332861;-0,13008903
0,11862068;0,042528413
-0,22179231;-0,28908065
-0,27084738;-0,2911039
-0,55644506;-0,5217551
-0,1986838;-0,23813675
-0,19406337;-0,3051442
-0,01851891;-0,089890346
0,10764213;0,029998899
0,14241022;0,090215296
0,11733011;0,053518213
0,38014716;0,35979244
0,2782482;0,23938361
0,014614701;0,016943887
-0,08433614;-0,14997466
0,16551435;0,123518
0,12463875;0,1373272
0,36537173;0,41797718
0,19504115;0,2267505
-0,19202659;-0,10957275
-0,06266188;0,011118203
0,023795955;0,027860226
-0,08998694;-0,050287835
-0,1143754;-0,035871644
-0,02264981;-0,035540342
-0,0043693986;-0,012017228
0,51847017;0,4617713
0,35475913;0,35721505
0,40028054;0,30844924
0,40211785;0,30502725
0,5244445;0,43038827
0,46242663;0,4440966
0,27055258;0,24411774
0,17265972;0,085613735
0,38298765;0,29387718
0,52979004;0,5058938
0,73778015;0,71064746
0,6076377;0,5842949
0,43188608;0,3069383
0,18517955;0,011098757
0,20289709;0,058938008
0,20417774;0,07715744
0,41048837;0,28082615
0,54114676;0,4294656
0,18618491;0,09128487
0,24502316;0,20088598
0,21830101;0,21845688
0,17659366;0,23963821
0,17291853;0,20050836
0,16146383;0,22492638
-0,1314634;-0,03637503
-0,20792109;-0,16928306
-0,23611435;-0,2340648
-0,46307796;-0,4678632
-0,22719257;-0,24008392
-0,018584594;-0,07290825
-0,038926844;-0,09600347
-0,04803024;-0,078674875
0,069678456;-0,0037285015
-0,1290908;-0,12555599
-0,17749175;-0,16709095
-0,48179856;-0,48106164
-0,668515;-0,6520579
-0,41680372;-0,3285671
-0,23144017;-0,10597317
0,17302588;0,1856502
-0,17884853;-0,106857106
-0,2658012;-0,26675597
-0,36838785;-0,374911
-0,55296075;-0,51088715
-0,59223175;-0,5491748
-0,8089545;-0,77384543
-0,53083915;-0,40128648
-0,19706798;-0,08957744
-0,19702192;-0,16739962
-0,009246334;0,009018227
-0,10912631;-0,077848
0,029165499;0,057718065
0,034020126;0,040847477
-0,4593025;-0,4445799
0,00039586425;0,061394542
-0,066516615;-0,09221191
-0,18371598;-0,23525846
-0,24189109;-0,24688938
-0,27707136;-0,37031618
-0,5063441;-0,5744082
-0,64318764;-0,7250127
-0,64034265;-0,6871487
